query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
3b,33.530,362.000,26.000,1.000,28.050,330.000,19.000,0.000,-5.480,1.195
3c,50.580,246.000,42.000,3.000,61.510,227.000,52.000,0.000,10.930,0.822
4a,44.260,375.000,36.000,2.000,41.340,395.000,36.000,1.000,-2.920,1.071
4b,27.860,528.000,22.000,1.000,30.090,470.000,24.000,0.000,2.230,0.926
4c,52.310,365.000,44.000,4.000,57.860,380.000,44.000,0.000,5.550,0.904
5a,3.480,120.000,1.000,1.000,2.110,190.000,0.000,0.000,-1.370,1.649
5b,1.550,120.000,0.000,0.000,1.060,117.000,0.000,0.000,-0.490,1.462
5c,26.080,361.000,20.000,1.000,17.240,355.000,13.000,0.000,-8.840,1.513
6a,51.250,458.000,32.000,0.000,44.710,353.000,30.000,0.000,-6.540,1.146
6b,38.350,400.000,23.000,0.000,39.890,392.000,26.000,0.000,1.540,0.961
6c,44.580,354.000,25.000,0.000,41.650,342.000,27.000,0.000,-2.930,1.070
6d,103.530,558.000,88.000,28.000,68.360,497.000,51.000,9.000,-35.170,1.514
6e,49.420,459.000,35.000,0.000,44.830,364.000,27.000,0.000,-4.590,1.102
6f,937.010,492.000,898.000,266.000,863.250,507.000,837.000,232.000,-73.760,1.085
7a,197.710,672.000,175.000,3.000,194.380,574.000,175.000,0.000,-3.330,1.017
7b,55.840,593.000,42.000,9.000,41.960,736.000,23.000,0.000,-13.880,1.331
7c,381.680,649.000,349.000,73.000,339.170,689.000,309.000,31.000,-42.510,1.125
8a,55.600,506.000,45.000,19.000,33.190,472.000,16.000,3.000,-22.410,1.675
8b,7.740,610.000,0.000,0.000,6.020,633.000,1.000,1.000,-1.720,1.286
8c,1827.450,483.000,1793.000,1083.000,2002.050,514.000,1950.000,1197.000,174.600,0.913
8d,506.100,716.000,471.000,255.000,441.290,692.000,414.000,207.000,-64.810,1.147
9a,55.520,720.000,37.000,2.000,50.990,767.000,28.000,0.000,-4.530,1.089
9b,61.960,722.000,47.000,17.000,39.010,724.000,18.000,1.000,-22.950,1.588
9c,178.630,755.000,161.000,78.000,109.390,695.000,92.000,33.000,-69.240,1.633
9d,563.840,895.000,546.000,335.000,535.190,714.000,517.000,335.000,-28.650,1.054
