query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
6a,50.680,3702.000,18.000,0.000,44.710,353.000,30.000,0.000,-5.970,1.134
6b,43.290,3904.000,15.000,0.000,39.890,392.000,26.000,0.000,-3.400,1.085
6c,41.420,3752.000,12.000,0.000,41.650,342.000,27.000,0.000,0.230,0.994
6d,37.060,4983.000,16.000,0.000,68.360,497.000,51.000,9.000,31.300,0.542
6e,51.990,3861.000,21.000,0.000,44.830,364.000,27.000,0.000,-7.160,1.160
6f,129.650,4961.000,95.000,4.000,863.250,507.000,837.000,232.000,733.600,0.150
7a,71.440,6084.000,39.000,0.000,194.380,574.000,175.000,0.000,122.940,0.368
7b,32.520,6003.000,16.000,0.000,41.960,736.000,23.000,0.000,9.440,0.775
7c,102.180,5972.000,71.000,0.000,339.170,689.000,309.000,31.000,236.990,0.301
8a,11.330,6281.000,3.000,0.000,33.190,472.000,16.000,3.000,21.860,0.341
8b,2.740,6081.000,0.000,0.000,6.020,633.000,1.000,1.000,3.280,0.455
8c,292.170,6111.000,252.000,20.000,2002.050,514.000,1950.000,1197.000,1709.880,0.146
8d,94.010,6219.000,59.000,0.000,441.290,692.000,414.000,207.000,347.280,0.213
9a,16.810,8631.000,0.000,0.000,50.990,767.000,28.000,0.000,34.180,0.330
9b,12.940,7366.000,0.000,0.000,39.010,724.000,18.000,1.000,26.070,0.332
9c,22.850,7890.000,5.000,0.000,109.390,695.000,92.000,33.000,86.540,0.209
9d,127.670,8197.000,107.000,4.000,535.190,714.000,517.000,335.000,407.520,0.239
