query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
6c,41.420,3752.000,12.000,0.000,35.730,1872.000,21.000,0.000,-5.690,1.159
6d,37.060,4983.000,16.000,0.000,73.370,522.000,52.000,6.000,36.310,0.505
6e,51.990,3861.000,21.000,0.000,49.950,385.000,30.000,0.000,-2.040,1.041
6f,129.650,4961.000,95.000,4.000,815.690,509.000,783.000,194.000,686.040,0.159
7a,71.440,6084.000,39.000,0.000,203.300,621.000,178.000,7.000,131.860,0.351
7b,32.520,6003.000,16.000,0.000,70.120,608.000,42.000,21.000,37.600,0.464
7c,102.180,5972.000,71.000,0.000,346.800,2525.000,295.000,64.000,244.620,0.295
8a,11.330,6281.000,3.000,0.000,62.400,2276.000,24.000,7.000,51.070,0.182
8b,2.740,6081.000,0.000,0.000,10.110,5450.000,3.000,0.000,7.370,0.271
8c,292.170,6111.000,252.000,20.000,1302.310,2148.000,1255.000,550.000,1010.140,0.224
8d,94.010,6219.000,59.000,0.000,462.210,4597.000,412.000,192.000,368.200,0.203
9a,16.810,8631.000,0.000,0.000,67.580,4002.000,36.000,0.000,50.770,0.249
9b,12.940,7366.000,0.000,0.000,62.490,7148.000,21.000,0.000,49.550,0.207
9c,22.850,7890.000,5.000,0.000,205.620,2486.000,158.000,78.000,182.770,0.111
9d,127.670,8197.000,107.000,4.000,538.240,2402.000,491.000,288.000,410.570,0.237
