query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
28a,117.140,774.000,61.000,36.000,120.340,822.000,66.000,37.000,3.200,0.973
28b,83.660,631.000,49.000,40.000,75.720,556.000,50.000,7.000,-7.940,1.105
28c,99.290,791.000,51.000,29.000,109.610,750.000,63.000,28.000,10.320,0.906
29a,23.760,2559.000,2.000,0.000,20.620,2814.000,5.000,0.000,-3.140,1.152
29b,22.470,860.000,1.000,0.000,22.920,789.000,1.000,0.000,0.450,0.980
29c,252.240,2527.000,199.000,116.000,221.420,2640.000,144.000,93.000,-30.820,1.139
2a,161.920,1883.000,130.000,70.000,133.590,2087.000,117.000,42.000,-28.330,1.212
2b,93.060,291.000,76.000,24.000,117.960,278.000,99.000,26.000,24.900,0.789
2c,13.720,1799.000,0.000,0.000,14.940,1900.000,4.000,0.000,1.220,0.918
2d,215.210,2071.000,196.000,127.000,179.510,2148.000,164.000,81.000,-35.700,1.199
30a,117.810,4152.000,92.000,53.000,124.520,4143.000,68.000,25.000,6.710,0.946
30b,41.570,738.000,6.000,2.000,42.540,737.000,10.000,4.000,0.970,0.977
30c,166.200,2098.000,116.000,43.000,174.550,2555.000,129.000,63.000,8.350,0.952
31a,104.300,763.000,70.000,22.000,132.050,683.000,100.000,25.000,27.750,0.790
31b,19.480,839.000,4.000,0.000,20.580,691.000,3.000,0.000,1.100,0.947
31c,127.770,884.000,82.000,9.000,168.680,847.000,127.000,45.000,40.910,0.757
32a,70.620,541.000,30.000,23.000,49.230,491.000,30.000,12.000,-21.390,1.434
32b,114.370,599.000,75.000,44.000,84.210,614.000,57.000,21.000,-30.160,1.358
33a,54.610,5434.000,17.000,13.000,59.770,5766.000,12.000,10.000,5.160,0.914
33b,47.730,3652.000,5.000,5.000,57.350,4098.000,8.000,8.000,9.620,0.832
33c,91.330,2254.000,47.000,2.000,83.090,2876.000,40.000,0.000,-8.240,1.099
3a,60.450,270.000,40.000,4.000,66.390,255.000,38.000,2.000,5.940,0.911
