query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
26c,318.630,752.000,286.000,51.000,73.660,379.000,54.000,0.000,-244.970,4.326
27a,18.360,991.000,6.000,0.000,12.800,644.000,2.000,0.000,-5.560,1.434
27b,13.520,790.000,3.000,0.000,11.080,521.000,1.000,0.000,-2.440,1.220
27c,37.450,869.000,21.000,0.000,25.640,493.000,14.000,0.000,-11.810,1.461
28a,67.390,746.000,47.000,6.000,43.990,784.000,24.000,6.000,-23.400,1.532
28b,34.310,597.000,20.000,7.000,35.530,540.000,14.000,7.000,1.220,0.966
28c,73.730,767.000,55.000,9.000,35.580,660.000,23.000,4.000,-38.150,2.072
29a,19.740,1016.000,2.000,0.000,18.190,1066.000,0.000,0.000,-1.550,1.085
29b,17.270,921.000,5.000,0.000,19.290,915.000,0.000,0.000,2.020,0.895
29c,101.440,967.000,77.000,19.000,30.630,668.000,9.000,2.000,-70.810,3.312
2a,60.850,271.000,49.000,9.000,24.890,343.000,15.000,0.000,-35.960,2.445
2b,64.990,250.000,55.000,14.000,23.720,348.000,15.000,0.000,-41.270,2.740
2c,13.490,355.000,5.000,0.000,9.790,375.000,1.000,0.000,-3.700,1.378
2d,187.220,491.000,178.000,94.000,75.960,493.000,68.000,27.000,-111.260,2.465
30a,50.000,757.000,33.000,3.000,37.530,625.000,24.000,5.000,-12.470,1.332
30b,14.120,713.000,5.000,0.000,7.900,390.000,0.000,0.000,-6.220,1.787
30c,63.860,586.000,48.000,3.000,26.650,4054.000,13.000,1.000,-37.210,2.396
31a,58.510,772.000,43.000,0.000,22.850,389.000,13.000,0.000,-35.660,2.561
31b,20.390,777.000,6.000,0.000,6.200,109.000,0.000,0.000,-14.190,3.289
31c,63.100,899.000,45.000,0.000,28.510,654.000,14.000,0.000,-34.590,2.213
32a,40.460,520.000,32.000,15.000,25.840,504.000,17.000,5.000,-14.620,1.566
32b,57.390,630.000,47.000,12.000,28.280,526.000,20.000,4.000,-29.110,2.029
33a,29.440,1033.000,10.000,8.000,14.150,393.000,4.000,3.000,-15.290,2.081
33b,15.730,1020.000,1.000,0.000,10.700,378.000,0.000,0.000,-5.030,1.470
33c,57.830,872.000,35.000,0.000,16.150,354.000,7.000,0.000,-41.680,3.581
3a,45.400,357.000,39.000,0.000,32.730,248.000,27.000,0.000,-12.670,1.387
3b,28.050,330.000,19.000,0.000,25.460,388.000,19.000,0.000,-2.590,1.102
3c,61.510,227.000,52.000,0.000,40.940,251.000,32.000,1.000,-20.570,1.502
4a,41.340,395.000,36.000,1.000,38.030,381.000,31.000,0.000,-3.310,1.087
4b,30.090,470.000,24.000,0.000,20.300,506.000,15.000,0.000,-9.790,1.482
4c,57.860,380.000,44.000,0.000,38.610,365.000,30.000,1.000,-19.250,1.499
5a,2.110,190.000,0.000,0.000,2.160,117.000,0.000,0.000,0.050,0.977
5b,1.060,117.000,0.000,0.000,1.480,125.000,0.000,0.000,0.420,0.716
5c,17.240,355.000,13.000,0.000,20.440,378.000,12.000,0.000,3.200,0.843
6a,44.710,353.000,30.000,0.000,26.680,382.000,13.000,0.000,-18.030,1.676
6b,39.890,392.000,26.000,0.000,14.670,253.000,3.000,0.000,-25.220,2.719
6c,41.650,342.000,27.000,0.000,11.150,253.000,1.000,0.000,-30.500,3.735
6d,68.360,497.000,51.000,9.000,42.490,492.000,29.000,0.000,-25.870,1.609
6e,44.830,364.000,27.000,0.000,31.790,357.000,18.000,0.000,-13.040,1.410
6f,863.250,507.000,837.000,232.000,169.160,472.000,153.000,0.000,-694.090,5.103
7a,194.380,574.000,175.000,0.000,34.810,653.000,19.000,0.000,-159.570,5.584
7b,41.960,736.000,23.000,0.000,9.640,247.000,0.000,0.000,-32.320,4.353
7c,339.170,689.000,309.000,31.000,96.510,794.000,77.000,14.000,-242.660,3.514
8a,33.190,472.000,16.000,3.000,7.880,251.000,1.000,0.000,-25.310,4.212
8b,6.020,633.000,1.000,1.000,3.640,665.000,0.000,0.000,-2.380,1.654
8c,2002.050,514.000,1950.000,1197.000,75.130,486.000,56.000,10.000,-1926.920,26.648
8d,441.290,692.000,414.000,207.000,73.140,497.000,55.000,16.000,-368.150,6.033
9a,50.990,767.000,28.000,0.000,14.410,923.000,2.000,0.000,-36.580,3.539
9b,39.010,724.000,18.000,1.000,14.020,375.000,4.000,0.000,-24.990,2.782
9c,109.390,695.000,92.000,33.000,63.840,617.000,48.000,18.000,-45.550,1.714
9d,535.190,714.000,517.000,335.000,56.350,361.000,45.000,6.000,-478.840,9.498
