query,old_total_ms,old_compile_ms,old_exec_ms,old_htbuild_ms,new_total_ms,new_compile_ms,new_exec_ms,new_htbuild_ms,diff_ms,speedup
33a,20.130,10464.000,0.000,0.000,54.610,5434.000,17.000,13.000,34.480,0.369
33b,20.520,10345.000,2.000,0.000,47.730,3652.000,5.000,5.000,27.210,0.430
33c,18.370,9031.000,0.000,0.000,91.330,2254.000,47.000,2.000,72.960,0.201
3a,10.680,2508.000,3.000,0.000,60.450,270.000,40.000,4.000,49.770,0.177
3b,8.650,3639.000,3.000,0.000,42.350,1801.000,25.000,7.000,33.700,0.204
3c,13.540,3611.000,3.000,0.000,115.880,260.000,93.000,10.000,102.340,0.117
4a,14.060,3811.000,3.000,0.000,105.120,2020.000,83.000,14.000,91.060,0.134
4b,8.740,4980.000,3.000,0.000,34.990,3156.000,24.000,0.000,26.250,0.250
4c,14.770,3728.000,5.000,0.000,81.950,1947.000,62.000,26.000,67.180,0.180
5a,4.600,1263.000,0.000,0.000,1.980,175.000,0.000,0.000,-2.620,2.323
5b,1.480,1174.000,0.000,0.000,1.010,119.000,0.000,0.000,-0.470,1.465
5c,7.410,3862.000,0.000,0.000,49.890,1769.000,33.000,23.000,42.480,0.149
6a,50.680,3702.000,18.000,0.000,41.660,2094.000,23.000,0.000,-9.020,1.217
6b,43.290,3904.000,15.000,0.000,34.830,3258.000,22.000,0.000,-8.460,1.243
6c,41.420,3752.000,12.000,0.000,35.930,1671.000,20.000,0.000,-5.490,1.153
6d,37.060,4983.000,16.000,0.000,92.840,562.000,58.000,17.000,55.780,0.399
6e,51.990,3861.000,21.000,0.000,46.720,402.000,26.000,0.000,-5.270,1.113
6f,129.650,4961.000,95.000,4.000,726.940,558.000,685.000,173.000,597.290,0.178
7a,71.440,6084.000,39.000,0.000,225.240,620.000,178.000,2.000,153.800,0.317
7b,32.520,6003.000,16.000,0.000,58.640,680.000,31.000,7.000,26.120,0.555
7c,102.180,5972.000,71.000,0.000,315.820,2209.000,262.000,30.000,213.640,0.324
8a,11.330,6281.000,3.000,0.000,69.840,2115.000,51.000,22.000,58.510,0.162
8b,2.740,6081.000,0.000,0.000,8.500,5042.000,0.000,0.000,5.760,0.322
8c,292.170,6111.000,252.000,20.000,1403.630,573.000,1365.000,692.000,1111.460,0.208
8d,94.010,6219.000,59.000,0.000,424.010,3609.000,397.000,197.000,330.000,0.222
9a,16.810,8631.000,0.000,0.000,78.230,3886.000,30.000,10.000,61.420,0.215
9b,12.940,7366.000,0.000,0.000,48.630,6163.000,22.000,6.000,35.690,0.266
9c,22.850,7890.000,5.000,0.000,239.550,2449.000,206.000,140.000,216.700,0.095
9d,127.670,8197.000,107.000,4.000,509.300,2303.000,473.000,343.000,381.630,0.251
